context_length_tokens,m4_mean_ptl_ms,m4_stdev_ptl_ms,m4_p90_ptl_ms,m2_mean_ptl_ms,m2_stdev_ptl_ms,m2_p90_ptl_ms,m2_vs_m4_ratio
32,19.27,1.71,20.34,28.51,2.67,30.36,1.48
64,19.62,2.05,23.4,29.6,2.93,34.05,1.509
128,20.38,2.18,25.41,30.94,2.77,32.79,1.518
256,22.67,1.53,24.52,35.06,3.13,37.4,1.547
512,30.08,3.76,37.4,45.75,4.02,53.19,1.521
768,37.76,2.68,41.3,59.8,4.81,63.95,1.584
1024,48.63,4.66,58.79,76.41,6.65,80.4,1.571
