token_index,m4_latency_ms,m2_latency_ms,m4_cumulative_ms,m2_cumulative_ms,phase
1,83.266,134.664,83.27,134.66,prefill
2,26.511,51.126,109.78,185.79,decode
3,24.923,38.759,134.7,224.55,decode
4,35.602,40.208,170.3,264.76,decode
5,26.103,40.812,196.4,305.57,decode
6,34.924,47.319,231.32,352.89,decode
7,26.175,46.308,257.5,399.2,decode
8,25.317,48.771,282.82,447.97,decode
9,26.254,38.814,309.07,486.78,decode
10,30.31,47.758,339.38,534.54,decode
11,26.868,55.648,366.25,590.19,decode
12,25.221,46.626,391.47,636.82,decode
13,30.675,48.975,422.15,685.8,decode
14,30.551,48.937,452.7,734.74,decode
15,26.838,47.794,479.54,782.53,decode
16,31.555,34.752,511.1,817.28,decode
17,26.555,55.964,537.65,873.24,decode
18,31.203,40.386,568.85,913.63,decode
19,26.519,49.512,595.37,963.14,decode
20,30.442,56.261,625.81,1019.4,decode
21,23.025,49.339,648.83,1068.74,decode
22,27.295,40.061,676.12,1108.8,decode
23,29.621,61.882,705.74,1170.68,decode
24,31.748,43.661,737.49,1214.34,decode
25,31.347,42.232,768.84,1256.57,decode
26,25.636,42.009,794.48,1298.58,decode
27,27.431,47.273,821.91,1345.85,decode
28,26.7,50.259,848.61,1396.11,decode
29,27.402,47.95,876.01,1444.06,decode
30,26.107,49.524,902.12,1493.58,decode
31,26.593,52.699,928.71,1546.28,decode
32,25.757,49.757,954.47,1596.04,decode
33,25.862,49.771,980.33,1645.81,decode
34,25.996,48.906,1006.33,1694.72,decode
35,35.407,50.754,1041.74,1745.47,decode
36,26.617,43.332,1068.36,1788.8,decode
37,26.739,47.967,1095.1,1836.77,decode
38,32.582,48.763,1127.68,1885.53,decode
39,27.03,41.125,1154.71,1926.65,decode
40,32.614,57.067,1187.32,1983.72,decode
41,31.188,60.276,1218.51,2044.0,decode
42,26.709,41.59,1245.22,2085.59,decode
43,31.635,51.204,1276.86,2136.79,decode
44,38.58,48.2,1315.44,2184.99,decode
45,33.089,49.715,1348.53,2234.7,decode
46,39.348,52.189,1387.88,2286.89,decode
47,37.761,49.762,1425.64,2336.65,decode
48,26.548,55.703,1452.19,2392.35,decode
49,32.457,41.341,1484.65,2433.69,decode
50,26.669,41.74,1511.32,2475.43,decode
51,31.352,51.581,1542.67,2527.01,decode
52,27.463,43.079,1570.13,2570.09,decode
53,26.68,49.522,1596.81,2619.61,decode
54,32.769,47.585,1629.58,2667.2,decode
55,27.136,42.252,1656.72,2709.45,decode
56,31.849,51.355,1688.57,2760.8,decode
57,33.278,50.351,1721.85,2811.15,decode
58,28.153,50.167,1750.0,2861.32,decode
59,33.023,49.595,1783.02,2910.91,decode
60,28.082,50.927,1811.1,2961.84,decode
61,27.779,51.753,1838.88,3013.59,decode
62,28.227,49.244,1867.11,3062.83,decode
63,33.221,58.671,1900.33,3121.5,decode
64,32.378,44.552,1932.71,3166.05,decode
65,27.483,59.178,1960.19,3225.23,decode
66,33.093,43.915,1993.28,3269.14,decode
67,33.295,52.598,2026.58,3321.74,decode
68,32.856,42.732,2059.44,3364.47,decode
69,31.883,59.231,2091.32,3423.7,decode
70,33.394,52.191,2124.71,3475.89,decode
71,28.379,50.515,2153.09,3526.4,decode
72,32.443,50.623,2185.53,3577.02,decode
73,32.976,63.288,2218.51,3640.31,decode
74,33.667,44.776,2252.18,3685.09,decode
75,28.659,42.879,2280.84,3727.97,decode
76,28.46,43.947,2309.3,3771.92,decode
77,29.239,50.887,2338.54,3822.81,decode
78,28.163,43.202,2366.7,3866.01,decode
79,27.71,51.887,2394.41,3917.9,decode
80,29.19,50.595,2423.6,3968.49,decode
81,34.568,52.143,2458.17,4020.63,decode
82,33.929,42.615,2492.1,4063.24,decode
83,33.58,53.058,2525.68,4116.3,decode
84,37.852,43.376,2563.53,4159.68,decode
85,33.785,46.84,2597.32,4206.52,decode
86,38.631,52.799,2635.95,4259.32,decode
87,28.881,65.937,2664.83,4325.26,decode
88,33.517,53.702,2698.35,4378.96,decode
89,34.949,43.018,2733.3,4421.98,decode
90,34.117,44.41,2767.42,4466.39,decode
91,38.964,51.423,2806.38,4517.81,decode
92,34.811,65.73,2841.19,4583.54,decode
93,28.475,61.505,2869.66,4645.05,decode
94,34.669,44.383,2904.33,4689.43,decode
95,33.85,52.768,2938.18,4742.2,decode
96,34.865,51.898,2973.04,4794.1,decode
97,34.473,52.348,3007.51,4846.45,decode
98,33.24,53.594,3040.75,4900.04,decode
99,34.116,54.69,3074.87,4954.73,decode
100,35.475,43.515,3110.34,4998.24,decode
