context_tokens,kv_cache_f16_mb,kv_cache_q8_mb,kv_cache_q4_mb,model_weights_gb,device_name,measurement_type,data_source
64,1.44,0.72,0.36,2.2,Mac_M4_16GB,analytical,formula_2_L_Hkv_dhead_ctx_bpe
128,2.88,1.44,0.72,2.2,Mac_M4_16GB,analytical,formula_2_L_Hkv_dhead_ctx_bpe
256,5.77,2.88,1.44,2.2,Mac_M4_16GB,analytical,formula_2_L_Hkv_dhead_ctx_bpe
512,11.53,5.77,2.88,2.2,Mac_M4_16GB,analytical,formula_2_L_Hkv_dhead_ctx_bpe
1024,23.07,11.53,5.77,2.2,Mac_M4_16GB,analytical,formula_2_L_Hkv_dhead_ctx_bpe
1500,33.79,16.9,8.45,2.2,Mac_M4_16GB,analytical,formula_2_L_Hkv_dhead_ctx_bpe
1950,43.93,21.96,10.98,2.2,Mac_M4_16GB,analytical,formula_2_L_Hkv_dhead_ctx_bpe
2048,46.14,23.07,11.53,2.2,Mac_M4_16GB,analytical,formula_2_L_Hkv_dhead_ctx_bpe
